state,start,end,duration_minutes,details
cruising,2025-09-25 00:00:00,2025-09-25 05:14:30,314.5,{}
heading,2025-09-25 05:14:30,2025-09-25 05:14:55,1.0,"{'from_lon': np.float64(114.116242), 'from_lat': np.float64(22.613805), 'to_lon': 114.11693559350722, 'to_lat': 22.616221084635054, 'distance_meters': 277.9295192804412, 'distance_km': 0.2779295192804412}"
recharging,2025-09-25 05:14:55,2025-09-25 06:01:13,46.3,"{'station_name': '依威能源充电站(德兴城)', 'lon': 114.11693559350722, 'lat': 22.616221084635054}"
cruising,2025-09-25 06:01:13,2025-09-25 08:02:55,121.7,{}
occupied,2025-09-25 08:02:55,2025-09-25 08:13:49,10.9,"{'pickup_lon': 114.08672, 'pickup_lat': 22.539635, 'dropoff_lon': 114.122355, 'dropoff_lat': 22.55198, 'mileage': 4.698, 'fare': 24.5}"
cruising,2025-09-25 08:13:49,2025-09-25 08:27:03,13.233333333333333,{}
occupied,2025-09-25 08:27:03,2025-09-25 08:36:13,9.166666666666666,"{'pickup_lon': 114.120267, 'pickup_lat': 22.544577, 'dropoff_lon': 114.10705, 'dropoff_lat': 22.554105, 'mileage': 2.652, 'fare': 18.0}"
cruising,2025-09-25 08:36:13,2025-09-25 08:59:22,23.15,{}
occupied,2025-09-25 08:59:22,2025-09-25 09:05:11,5.816666666666666,"{'pickup_lon': 114.12059, 'pickup_lat': 22.54408, 'dropoff_lon': 114.11704, 'dropoff_lat': 22.550825, 'mileage': 1.4, 'fare': 13.0}"
cruising,2025-09-25 09:05:11,2025-09-25 09:16:39,11.466666666666667,{}
occupied,2025-09-25 09:16:39,2025-09-25 09:22:30,5.85,"{'pickup_lon': 114.11809, 'pickup_lat': 22.543802, 'dropoff_lon': 114.117395, 'dropoff_lat': 22.536812, 'mileage': 1.711, 'fare': 14.0}"
cruising,2025-09-25 09:22:30,2025-09-25 09:23:26,0.9333333333333333,{}
occupied,2025-09-25 09:23:26,2025-09-25 09:34:37,11.183333333333334,"{'pickup_lon': 114.11626, 'pickup_lat': 22.535797, 'dropoff_lon': 114.070315, 'dropoff_lat': 22.523652, 'mileage': 9.21, 'fare': 38.5}"
cruising,2025-09-25 09:34:37,2025-09-25 10:36:46,62.15,{}
occupied,2025-09-25 10:36:46,2025-09-25 10:44:45,7.983333333333333,"{'pickup_lon': 114.086475, 'pickup_lat': 22.540697, 'dropoff_lon': 114.116117, 'dropoff_lat': 22.54195, 'mileage': 3.772, 'fare': 20.5}"
cruising,2025-09-25 10:44:45,2025-09-25 11:08:10,23.416666666666668,{}
occupied,2025-09-25 11:08:10,2025-09-25 11:42:34,34.4,"{'pickup_lon': 114.11606, 'pickup_lat': 22.541975, 'dropoff_lon': 114.00006, 'dropoff_lat': 22.65155, 'mileage': 23.002, 'fare': 94.5}"
cruising,2025-09-25 11:42:34,2025-09-25 12:16:02,33.46666666666667,{}
occupied,2025-09-25 12:16:02,2025-09-25 12:30:02,14.0,"{'pickup_lon': 114.11283, 'pickup_lat': 22.611085, 'dropoff_lon': 114.135632, 'dropoff_lat': 22.557785, 'mileage': 8.785, 'fare': 39.0}"
