state,start,end,duration_minutes,details
cruising,2025-09-26 00:00:00,2025-09-26 05:11:26,311.43333333333334,{}
heading,2025-09-26 05:11:26,2025-09-26 05:11:37,1.0,"{'from_lon': np.float64(114.116327), 'from_lat': np.float64(22.613915), 'to_lon': 114.11693559350722, 'to_lat': 22.616221084635054, 'distance_meters': 263.9244689391865, 'distance_km': 0.26392446893918653}"
recharging,2025-09-26 05:11:37,2025-09-26 05:54:36,42.983333333333334,"{'station_name': '依威能源充电站(德兴城)', 'lon': 114.11693559350722, 'lat': 22.616221084635054}"
cruising,2025-09-26 05:54:36,2025-09-26 07:35:18,100.7,{}
occupied,2025-09-26 07:35:18,2025-09-26 07:59:51,24.55,"{'pickup_lon': 114.086422, 'pickup_lat': 22.540685, 'dropoff_lon': 114.158397, 'dropoff_lat': 22.608732, 'mileage': 15.361, 'fare': 65.0}"
cruising,2025-09-26 07:59:51,2025-09-26 08:06:25,6.566666666666666,{}
occupied,2025-09-26 08:06:25,2025-09-26 08:11:06,4.683333333333334,"{'pickup_lon': 114.153327, 'pickup_lat': 22.608415, 'dropoff_lon': 114.157612, 'dropoff_lat': 22.613872, 'mileage': 1.734, 'fare': 13.5}"
cruising,2025-09-26 08:11:06,2025-09-26 08:38:31,27.416666666666668,{}
occupied,2025-09-26 08:38:31,2025-09-26 08:43:35,5.066666666666666,"{'pickup_lon': 114.14541, 'pickup_lat': 22.609575, 'dropoff_lon': 114.135095, 'dropoff_lat': 22.616535, 'mileage': 1.881, 'fare': 14.5}"
cruising,2025-09-26 08:43:35,2025-09-26 09:24:56,41.35,{}
occupied,2025-09-26 09:24:56,2025-09-26 09:33:31,8.583333333333334,"{'pickup_lon': 114.112595, 'pickup_lat': 22.609127, 'dropoff_lon': 114.137795, 'dropoff_lat': 22.620742, 'mileage': 3.943, 'fare': 21.5}"
cruising,2025-09-26 09:33:31,2025-09-26 10:00:26,26.916666666666668,{}
occupied,2025-09-26 10:00:26,2025-09-26 10:05:05,4.65,"{'pickup_lon': 114.12245, 'pickup_lat': 22.612917, 'dropoff_lon': 114.112217, 'dropoff_lat': 22.60649, 'mileage': 2.193, 'fare': 15.0}"
cruising,2025-09-26 10:05:05,2025-09-26 10:10:32,5.45,{}
occupied,2025-09-26 10:10:32,2025-09-26 10:14:02,3.5,"{'pickup_lon': 114.10619, 'pickup_lat': 22.601142, 'dropoff_lon': 114.099795, 'dropoff_lat': 22.60741, 'mileage': 1.36, 'fare': 13.0}"
cruising,2025-09-26 10:14:02,2025-09-26 11:30:07,76.08333333333333,{}
